algo1,algo2,p_value,effect_size,test,kendall_w
PolyGPT,mini-agi,0.0014057202057531713,0.877650426007001,wilcoxon,0.4347826086956514
PolyGPT,gpt-engineer,1.0,0.8468556742172817,wilcoxon,0.4347826086956514
PolyGPT,Auto-GPT,0.04216819709715596,0.877650426007001,wilcoxon,0.4347826086956514
PolyGPT,babyagi,0.10880943004054568,0.877650426007001,wilcoxon,0.4347826086956514
PolyGPT,smol-developer,0.28504940740261275,0.8673855087437612,wilcoxon,0.4347826086956514
PolyGPT,Auto-GPT-Turbo,0.5,0.8987170342729172,wilcoxon,0.4347826086956514
mini-agi,gpt-engineer,0.0008750712299984151,0.8760375907831331,wilcoxon,0.4347826086956514
mini-agi,Auto-GPT,0.007420961287866498,0.8760375907831331,wilcoxon,0.4347826086956514
mini-agi,babyagi,0.0008211120541406169,0.8760375907831331,wilcoxon,0.4347826086956514
mini-agi,smol-developer,0.002014748600923641,0.8760375907831331,wilcoxon,0.4347826086956514
mini-agi,Auto-GPT-Turbo,0.125,0.8987170342729172,wilcoxon,0.4347826086956514
gpt-engineer,Auto-GPT,0.03389485352468927,0.8760375907831331,wilcoxon,0.4347826086956514
gpt-engineer,babyagi,0.31731050786291415,0.8760375907831331,wilcoxon,0.4347826086956514
gpt-engineer,smol-developer,0.17971249487899976,0.8760375907831331,wilcoxon,0.4347826086956514
gpt-engineer,Auto-GPT-Turbo,1.0,0.8987170342729172,wilcoxon,0.4347826086956514
Auto-GPT,babyagi,0.025347318677468252,0.8760375907831331,wilcoxon,0.4347826086956514
Auto-GPT,smol-developer,0.0832645166635504,0.8760375907831331,wilcoxon,0.4347826086956514
Auto-GPT,Auto-GPT-Turbo,0.5,0.8987170342729172,wilcoxon,0.4347826086956514
babyagi,smol-developer,0.15729920705028502,0.8760375907831331,wilcoxon,0.4347826086956514
babyagi,Auto-GPT-Turbo,1.0,0.0,wilcoxon,0.4347826086956514
smol-developer,Auto-GPT-Turbo,1.0,0.8987170342729172,wilcoxon,0.4347826086956514
PolyGPT,mini-agi,0.7225503220731846,1.5367521409964402,nemenyi,0.4347826086956514
PolyGPT,gpt-engineer,0.9999946063769856,0.2004459314343183,nemenyi,0.4347826086956514
PolyGPT,Auto-GPT,0.9967931498301866,0.6013377943029545,nemenyi,0.4347826086956514
PolyGPT,babyagi,0.9983408260431683,0.534522483824849,nemenyi,0.4347826086956514
PolyGPT,smol-developer,0.9999999924297687,0.06681531047810586,nemenyi,0.4347826086956514
PolyGPT,Auto-GPT-Turbo,0.9983408260431683,0.534522483824849,nemenyi,0.4347826086956514
mini-agi,gpt-engineer,0.5908385506971439,1.7371980724307585,nemenyi,0.4347826086956514
mini-agi,Auto-GPT,0.9668874283043648,0.9354143466934857,nemenyi,0.4347826086956514
mini-agi,babyagi,0.3698789396960923,2.071274624821289,nemenyi,0.4347826086956514
mini-agi,smol-developer,0.7628353261838405,1.4699368305183342,nemenyi,0.4347826086956514
mini-agi,Auto-GPT-Turbo,0.3698789396960923,2.071274624821289,nemenyi,0.4347826086956514
gpt-engineer,Auto-GPT,0.9848702368790674,0.8017837257372729,nemenyi,0.4347826086956514
gpt-engineer,babyagi,0.9998895584096672,0.33407655239053075,nemenyi,0.4347826086956514
gpt-engineer,smol-developer,0.9999702955819286,0.2672612419124242,nemenyi,0.4347826086956514
gpt-engineer,Auto-GPT-Turbo,0.9998895584096672,0.33407655239053075,nemenyi,0.4347826086956514
Auto-GPT,babyagi,0.9171322993987573,1.1358602781278035,nemenyi,0.4347826086956514
Auto-GPT,smol-developer,0.9983408260431683,0.5345224838248487,nemenyi,0.4347826086956514
Auto-GPT,Auto-GPT-Turbo,0.9171322993987573,1.1358602781278035,nemenyi,0.4347826086956514
babyagi,smol-developer,0.9967931498301866,0.6013377943029549,nemenyi,0.4347826086956514
babyagi,Auto-GPT-Turbo,1.0,0.0,nemenyi,0.4347826086956514
smol-developer,Auto-GPT-Turbo,0.9967931498301866,0.6013377943029549,nemenyi,0.4347826086956514
